Flight Operator,Flight Number,Price on Cleartrip,Price on Paytm
Air India,AI-501,4705,4705
IndiGo,6E-2174,4705,4705
IndiGo,6E-735,4705,4705
IndiGo,6E-6247,4705,4705
IndiGo,6E-5021,4705,4705
Air India,AI-507,4705,4705
IndiGo,6E-5039,4705,4705
Air India,AI-503,4705,4705
Air India,AI-804,4705,4705
IndiGo,6E-6621,4705,4705
IndiGo,6E-2053,4705,4705
Air India,AI-511,4705,4705
SpiceJet,SG-8136,4870,4676
SpiceJet,SG-8198,4870,4676
Vistara,UK-808,4915,4915
Vistara,UK-814,4915,4915
Vistara,UK-816,4915,4915
Vistara,UK-802,4915,4915
Vistara,UK-818,4915,4915
Vistara,UK-820,4915,4915
Air Asia,I5-741,5041,5041
Air Asia,I5-1532,5041,5041
Air India,AI-509,5156,5156
Vistara,UK-810,5198,5198
Vistara,UK-868,5251,5251
Akasa Air,QP-1359,5345,5345
IndiGo,6E-122,5354,5354
IndiGo,6E-861,5354,5354
IndiGo,6E-869,5354,5354
IndiGo,6E-2401,5354,4705
IndiGo,6E-2406,5354,5354
IndiGo,6E-6813,5354,5354
IndiGo,6E-2339,5354,5354
IndiGo,6E-871,5354,5354
SpiceJet,SG-392,5413,5413
Akasa Air,QP-1405,5452,5452
Air India,AI-505,5881,5881
Air India,AI-808,6721,6721
Air India,AI-513,7561,7561
